,satisfaction_level,last_evaluation,number_project,average_monthly_hours,year_spent,Work_accident,left,promotion_last_5years,Department,salary,sat/eval,year_spent_ratio
0,0.38,0.53,2,157,3,0,1,0,sales,low,0.7169811320754716,0.8571428571428571
1,0.8,0.86,5,262,6,0,1,0,sales,medium,0.930232558139535,1.7142857142857142
2,0.11,0.88,7,272,4,0,1,0,sales,medium,0.07786885245901609,1.1428571428571428
3,0.72,0.87,5,223,5,0,1,0,sales,low,0.8275862068965517,1.4285714285714286
4,0.37,0.52,2,159,3,0,1,0,sales,low,0.7115384615384615,0.8571428571428571
5,0.41,0.5,2,153,3,0,1,0,sales,low,0.82,0.8571428571428571
6,0.1,0.77,6,247,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
7,0.92,0.85,5,259,5,0,1,0,sales,low,1.0823529411764707,1.4285714285714286
8,0.89,1.0,5,224,5,0,1,0,sales,low,0.89,1.4285714285714286
9,0.42,0.53,2,142,3,0,1,0,sales,low,0.7924528301886792,0.8571428571428571
10,0.45,0.54,2,135,3,0,1,0,sales,low,0.8333333333333333,0.8571428571428571
11,0.11,0.81,6,305,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
12,0.84,0.92,4,234,5,0,1,0,sales,low,0.9130434782608695,1.4285714285714286
13,0.41,0.55,2,148,3,0,1,0,sales,low,0.7454545454545454,0.8571428571428571
14,0.36,0.56,2,137,3,0,1,0,sales,low,0.07786885245901609,0.8571428571428571
15,0.38,0.54,2,143,3,0,1,0,sales,low,0.7037037037037037,0.8571428571428571
16,0.45,0.47,2,160,3,0,1,0,sales,low,0.9574468085106383,0.8571428571428571
17,0.78,0.99,4,255,6,0,1,0,sales,low,0.787878787878788,1.7142857142857142
18,0.45,0.51,2,160,3,1,1,1,sales,low,0.8823529411764706,0.8571428571428571
19,0.76,0.89,5,262,5,0,1,0,sales,low,0.8539325842696629,1.4285714285714286
20,0.11,0.83,6,282,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
21,0.38,0.55,2,147,3,0,1,0,sales,low,0.07786885245901609,0.8571428571428571
22,0.09,0.95,6,304,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
23,0.46,0.57,2,139,3,0,1,0,sales,low,0.8070175438596492,0.8571428571428571
24,0.4,0.53,2,158,3,0,1,0,sales,low,0.7547169811320755,0.8571428571428571
25,0.89,0.92,5,242,5,0,1,0,sales,low,0.967391304347826,1.4285714285714286
26,0.82,0.87,4,239,5,0,1,0,sales,low,0.9425287356321839,1.4285714285714286
27,0.4,0.49,2,135,3,0,1,0,sales,low,0.8163265306122449,0.8571428571428571
28,0.41,0.46,2,128,3,0,1,0,accounting,low,0.8913043478260869,0.8571428571428571
29,0.38,0.5,2,132,3,0,1,0,accounting,low,0.76,0.8571428571428571
30,0.09,0.62,6,294,4,0,1,0,accounting,low,0.07786885245901609,1.1428571428571428
31,0.45,0.57,2,134,3,0,1,0,hr,low,0.7894736842105264,0.8571428571428571
32,0.4,0.51,2,145,3,0,1,0,hr,low,0.7843137254901961,0.8571428571428571
33,0.45,0.55,2,140,3,0,1,0,hr,low,0.8181818181818181,0.8571428571428571
34,0.84,0.87,4,246,6,0,1,0,hr,low,0.9655172413793103,1.7142857142857142
35,0.1,0.94,6,255,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
36,0.38,0.46,2,137,3,0,1,0,technical,low,0.8260869565217391,0.8571428571428571
37,0.45,0.5,2,126,3,0,1,0,technical,low,0.9,0.8571428571428571
38,0.11,0.89,6,306,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
39,0.41,0.54,2,152,3,0,1,0,technical,low,0.7592592592592592,0.8571428571428571
40,0.87,0.88,5,269,5,0,1,0,technical,low,0.9886363636363636,1.4285714285714286
41,0.45,0.48,2,158,3,0,1,0,technical,low,0.9375000000000001,0.8571428571428571
42,0.4,0.46,2,127,3,0,1,0,technical,low,0.8695652173913043,0.8571428571428571
43,0.1,0.8,7,281,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
44,0.09,0.89,6,276,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
45,0.84,0.74,3,182,4,0,1,0,technical,low,1.7368852459016397,1.1428571428571428
46,0.4,0.55,2,147,3,0,1,0,support,low,0.7272727272727273,0.8571428571428571
47,0.57,0.7,3,273,6,0,1,0,support,low,0.8142857142857143,1.7142857142857142
48,0.4,0.54,2,148,3,0,1,0,support,low,0.7407407407407407,0.8571428571428571
49,0.43,0.47,2,147,3,0,1,0,support,low,0.9148936170212766,0.8571428571428571
50,0.13,0.78,6,152,2,0,1,0,support,low,0.07786885245901609,0.5714285714285714
51,0.44,0.55,2,135,3,0,1,0,support,low,0.7999999999999999,0.8571428571428571
52,0.38,0.55,2,134,3,0,1,0,support,low,0.07786885245901609,0.8571428571428571
53,0.39,0.54,2,132,3,0,1,0,support,low,0.7222222222222222,0.8571428571428571
54,0.1,0.92,7,307,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
55,0.37,0.46,2,140,3,0,1,0,support,low,0.8043478260869564,0.8571428571428571
56,0.11,0.94,7,255,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
57,0.1,0.81,6,309,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
58,0.38,0.54,2,128,3,0,1,0,technical,low,0.7037037037037037,0.8571428571428571
59,0.85,1.0,4,225,5,0,1,0,technical,low,0.85,1.4285714285714286
60,0.85,0.91,5,226,5,0,1,0,management,medium,0.934065934065934,1.4285714285714286
61,0.11,0.93,7,308,4,0,1,0,IT,medium,0.07786885245901609,1.1428571428571428
62,0.1,0.95,6,244,5,0,1,0,IT,medium,0.07786885245901609,1.4285714285714286
63,0.36,0.56,2,132,3,0,1,0,IT,medium,0.07786885245901609,0.8571428571428571
